Chain	Radius_of_Gyration(A)
A	39.3862
B	26.5507
C	34.8222
D	40.8123
E	29.7779
F	27.0054
G	38.5274
H	36.6066
I	26.1337
J	26.8243
K	36.2208
L	34.7556
M	43.1370
N	40.7335
O	53.0177
P	23.1203
Q	32.3370
R	27.2354
S	25.5912
T	29.0283
U	33.7995
V	30.1553
W	32.0993
X	31.1984
Y	33.7972
Z	29.0939
a	27.2386
b	36.7695
c	33.7052
d	32.3558
e	33.6619
f	35.2407
g	31.4007
h	29.5254
i	30.5454
j	34.1884
k	49.5418
l	24.2707
m	41.8205
n	27.8841
o	28.8030
p	29.4593
q	38.4311
r	32.9688
s	38.4021
t	30.3357
u	26.3137
v	36.4827
w	31.9606
