Chain	Radius_of_Gyration(A)
A	60.2692
B	52.1257
C	40.5449
D	43.7725
E	40.2128
F	38.6426
G	39.1528
H	48.3688
I	50.5759
J	34.8289
K	53.1847
L	35.9948
M	48.3569
N	29.6554
O	47.9710
P	48.8150
Q	59.7110
R	42.4988
S	47.4792
T	39.6130
U	36.4467
V	50.6544
W	51.6240
X	47.7667
Y	35.7655
Z	36.5622
a	37.4088
b	41.0286
c	31.2804
d	60.1951
e	57.8563
f	37.8579
g	37.6526
h	56.3346
i	61.8148
j	67.3823
k	44.7432
l	46.8185
m	46.1834
n	49.2708
o	54.7115
p	40.0511
q	43.3309
r	57.8092
s	56.1432
t	56.8674
u	32.8176
v	50.9100
w	57.9313
