Chain	Radius_of_Gyration(A)
A	60.4601
B	51.8280
C	40.4579
D	44.0961
E	39.9795
F	38.3008
G	38.7446
H	48.2801
I	50.3614
J	34.5247
K	52.5852
L	35.6258
M	47.5095
N	29.6431
O	47.3366
P	48.5405
Q	60.2865
R	42.6738
S	47.1001
T	39.8033
U	36.2035
V	51.1576
W	51.3800
X	47.4126
Y	35.8696
Z	36.6374
a	37.2421
b	40.5793
c	30.7871
d	60.0572
e	58.0074
f	38.1629
g	37.8818
h	56.4755
i	61.9981
j	67.2366
k	45.0974
l	46.4753
m	46.7423
n	48.6864
o	54.5445
p	39.7228
q	42.9722
r	57.8785
s	56.3851
t	57.1401
u	33.0648
v	51.3694
w	57.7451
