Chain	SASA(Å²)
A	15114.57
B	12796.09
C	14738.74
D	15334.11
E	15514.95
F	13296.15
G	14083.13
H	13150.02
I	13737.88
J	14735.42
K	14323.98
L	15834.13
M	15017.16
N	15220.72
O	15325.84
P	13890.32
Q	13913.26
R	15044.91
S	12804.71
T	14646.19
U	14562.78
V	14659.39
W	13825.24
X	14476.16
Y	14033.85
Z	14935.25
a	15602.18
b	14935.06
c	15109.55
d	14835.37
e	15452.64
f	14359.66
g	15101.54
h	15712.61
i	14866.44
j	15389.28
k	15423.81
l	14238.34
m	14099.06
n	14025.81
o	13914.09
p	15358.74
q	14962.00
r	14317.27
s	14142.43
t	14233.14
u	14274.13
v	14672.66
w	14664.18
