Chain	SASA(Å²)
A	22218.44
B	22281.02
C	22101.43
D	22881.12
E	22486.26
F	24028.63
G	22670.67
H	23531.00
I	21890.21
J	23159.34
K	22828.10
L	22911.93
M	23470.43
N	22456.90
O	22235.49
P	23465.93
Q	22779.76
R	23973.84
S	22244.13
T	22087.23
U	23193.26
V	23334.45
W	23822.54
X	22695.45
Y	22086.81
Z	22444.15
a	23382.42
b	23219.15
c	21501.13
d	23617.18
e	23906.04
f	22178.93
g	22517.70
h	22353.82
i	22499.54
j	23148.87
k	23413.44
l	23569.21
m	23181.46
n	23250.95
o	22812.71
p	23594.65
q	23326.36
r	23413.76
s	23853.98
t	23007.82
u	23232.33
v	23371.16
w	23333.46
