Chain	Radius_of_Gyration(A)
A	30.7560
B	24.4901
C	26.0526
D	27.6353
E	29.7299
F	27.3878
G	31.1702
H	28.7768
I	37.2109
J	44.9047
K	35.1514
L	36.7969
M	41.1232
N	21.9416
O	26.4208
P	40.6996
Q	21.6642
R	29.2962
S	26.3244
T	23.7240
U	37.2122
V	30.7080
W	31.5223
X	28.4186
Y	50.1892
Z	37.0558
a	25.2418
b	30.2416
c	29.7175
d	30.6202
e	46.3563
f	28.5768
g	44.6536
h	30.7255
i	28.8686
j	33.7047
k	40.6890
l	35.6002
m	31.1676
n	30.2041
o	35.7294
p	34.4879
q	23.0178
r	28.1554
s	38.7311
t	31.1100
u	29.2817
v	39.3843
w	44.9570
