Chain	SASA(Å²)
A	13210.98
B	13957.26
C	14030.37
D	15325.84
E	14542.01
F	14155.95
G	15589.98
H	13808.97
I	13707.45
J	14720.33
K	12988.93
L	14108.56
M	15588.42
N	14442.65
O	14201.63
P	15213.78
Q	15322.77
R	14599.34
S	14390.38
T	15557.93
U	14719.24
V	14103.28
W	15680.08
X	15007.74
Y	14529.49
Z	12405.41
a	14157.60
b	14472.82
c	14067.35
d	14846.04
e	14680.96
f	14110.65
g	14622.36
h	14284.17
i	14532.81
j	14077.59
k	12719.48
l	14417.88
m	15041.85
n	14332.79
o	15053.13
p	15915.51
q	13693.52
r	14304.72
s	15780.41
t	14274.28
u	13987.33
v	13938.31
w	14776.79
