Chain	SASA(Å²)
A	13667.45
B	13635.46
C	13771.53
D	15263.77
E	14323.09
F	14064.40
G	14314.04
H	13931.73
I	13317.19
J	14074.31
K	12981.14
L	14218.44
M	13594.88
N	14643.64
O	15267.35
P	14673.75
Q	14999.16
R	14671.32
S	14966.77
T	14737.72
U	14912.96
V	13563.27
W	14533.09
X	13003.28
Y	13815.34
Z	13022.63
a	14602.51
b	13653.78
c	15212.45
d	14521.08
e	13017.24
f	15350.89
g	13993.46
h	14193.43
i	14300.28
j	14512.41
k	15237.50
l	14676.11
m	14032.70
n	15429.91
o	14696.16
p	15219.18
q	12453.88
r	15059.49
s	14470.93
t	14373.74
u	13748.11
v	15268.33
w	14862.04
