Chain	Radius_of_Gyration(A)
A	31.7611
B	28.2523
C	32.5916
D	22.6875
E	20.7773
F	34.5068
G	23.5471
H	19.7250
I	27.7528
J	39.3434
K	36.0772
L	23.2157
M	29.2736
N	30.5656
O	24.3501
P	20.6753
Q	29.7780
R	24.9442
S	33.2337
T	38.8824
U	40.1137
V	31.9757
W	22.7411
X	31.8913
Y	27.2897
Z	25.8396
a	29.6722
b	32.0227
c	27.0886
d	44.9631
e	29.2544
f	37.2555
g	24.1488
h	30.6954
i	36.5031
j	23.0485
k	35.2049
l	41.6751
m	22.4832
n	27.9715
o	30.4813
p	34.4698
q	36.7425
r	29.7061
s	35.0803
t	31.2818
u	33.6457
v	24.5651
w	30.3235
