Chain	Radius_of_Gyration(A)
A	45.9603
B	46.8864
C	43.6041
D	42.6934
E	58.9971
F	41.7158
G	48.3965
H	47.7190
I	36.2143
J	32.8197
K	42.7091
L	59.3109
M	49.8305
N	46.0619
O	45.7721
P	43.4553
Q	52.6613
R	48.9106
S	34.5295
T	37.9718
U	50.7167
V	42.2336
W	56.0531
X	25.7314
Y	43.5349
Z	52.8731
a	50.8278
b	60.4655
c	33.8927
d	43.5679
e	47.8537
f	47.5721
g	52.4932
h	42.5871
i	44.0385
j	35.5904
k	31.2429
l	50.1154
m	38.4280
n	43.9060
o	62.3521
p	29.0119
q	50.2446
r	63.1319
s	36.3419
t	35.9231
u	49.8649
v	33.9751
w	66.0533
