Chain	Radius_of_Gyration(A)
A	45.4084
B	46.4362
C	43.7338
D	43.0118
E	58.6519
F	41.8827
G	47.9528
H	47.2233
I	36.3028
J	32.8737
K	42.8494
L	58.6103
M	49.6254
N	45.8320
O	45.5817
P	43.2186
Q	52.6434
R	49.4020
S	33.7173
T	38.1805
U	50.4327
V	42.4819
W	55.3682
X	26.0777
Y	44.0990
Z	52.0719
a	50.3330
b	60.4626
c	33.4341
d	42.5699
e	47.4511
f	47.6336
g	52.3665
h	41.6616
i	44.2468
j	35.1014
k	31.2163
l	50.0289
m	38.5198
n	43.3476
o	62.4739
p	29.1965
q	50.3555
r	35.9288
s	63.1979
t	35.9934
u	49.7305
v	33.9008
w	65.7757
