Chain	SASA(Å²)
A	22340.89
B	22925.92
C	22697.57
D	22969.25
E	23161.74
F	22918.07
G	22959.71
H	23316.15
I	23739.87
J	22635.46
K	23090.07
L	23360.75
M	23299.69
N	22919.14
O	22136.92
P	22740.52
Q	22925.50
R	23552.79
S	22123.54
T	22756.29
U	23295.88
V	23369.02
W	23103.78
X	22305.32
Y	23042.49
Z	22949.64
a	23206.96
b	22112.13
c	22962.28
d	23265.32
e	22943.21
f	22930.86
g	22254.89
h	22400.50
i	21745.10
j	22730.06
k	22841.11
l	22707.55
m	22369.06
n	22600.67
o	23669.26
p	22760.94
q	23569.97
r	23607.05
s	22766.50
t	22680.18
u	23068.70
v	22866.64
w	22745.67
