Chain	SASA(Å²)
A	22209.21
B	23026.16
C	22890.13
D	23264.21
E	23922.00
F	23359.42
G	23487.39
H	23409.15
I	24084.23
J	22358.07
K	23415.21
L	23779.34
M	23672.42
N	22933.47
O	21952.02
P	22374.37
Q	23175.75
R	23796.51
S	21969.10
T	22995.34
U	23470.54
V	23345.80
W	22944.61
X	22398.21
Y	22788.00
Z	22535.16
a	23184.79
b	22738.04
c	22592.25
d	23870.41
e	23105.82
f	23233.12
g	22330.42
h	22355.04
i	21869.65
j	22123.01
k	22611.33
l	22352.87
m	22494.51
n	22688.73
o	23906.15
p	22916.60
q	23721.73
r	22839.67
s	23910.55
t	22556.14
u	23254.44
v	23327.58
w	22664.38
