Chain	Radius_of_Gyration(A)
A	49.3448
B	43.3367
C	58.7497
D	45.7646
E	41.4383
F	38.1256
G	73.1534
H	48.1228
I	31.1397
J	44.3615
K	37.2684
L	53.5186
M	35.4231
N	39.5105
O	49.7919
P	44.1759
Q	37.7203
R	42.5729
S	45.1865
T	42.6225
U	53.7341
V	46.6956
W	64.9706
X	44.8072
Y	56.5920
Z	49.4616
a	54.3095
b	57.5412
c	34.7553
d	36.0200
e	52.4027
f	45.6478
g	55.8108
h	47.9821
i	42.2498
j	39.9391
k	45.3846
l	48.2614
m	49.1580
n	47.4900
o	41.0571
p	34.5250
q	38.0672
r	54.6234
s	56.4866
t	38.2521
u	41.2742
v	65.8333
w	39.4723
