Chain	SASA(Å²)
A	23167.25
B	24241.20
C	23333.90
D	23721.48
E	23618.87
F	22076.49
G	23941.72
H	23545.17
I	23532.01
J	23342.40
K	23783.73
L	23630.34
M	24104.94
N	23337.06
O	23877.03
P	23707.09
Q	23841.86
R	22603.83
S	23620.24
T	24134.55
U	24254.29
V	23766.69
W	23631.80
X	23938.57
Y	23867.03
Z	23383.02
a	24265.07
b	23229.46
c	23957.01
d	24217.41
e	23824.02
f	24263.35
g	23668.14
h	22058.70
i	24467.05
j	24123.83
k	24003.00
l	22801.66
m	23625.71
n	22617.00
o	23982.83
p	23186.33
q	24073.81
r	23587.15
s	23716.92
t	23827.88
u	23538.14
v	23353.47
w	24743.24
