Chain	SASA(Å²)
A	22343.71
B	22268.31
C	22947.53
D	22981.60
E	22086.95
F	22595.01
G	22225.45
H	22048.30
I	22651.43
J	23146.74
K	22144.72
L	22971.27
M	22757.38
N	23353.38
O	23143.50
P	21611.65
Q	23662.25
R	22773.43
S	23255.94
T	22756.69
U	22352.50
V	22304.90
W	21848.15
X	21447.81
Y	22263.79
Z	23633.71
a	22953.82
b	22748.03
c	21927.22
d	23423.15
e	22822.84
f	23318.70
g	22270.63
h	22202.53
i	21971.96
j	23123.75
k	21323.06
l	22191.69
m	23361.88
n	21499.94
o	23399.24
p	21716.62
q	22192.71
r	22506.77
s	22742.43
t	22956.52
u	22363.85
v	22606.20
w	23150.45
