Chain	Radius_of_Gyration(A)
A	36.5635
B	36.1023
C	49.5439
D	48.9344
E	46.8205
F	41.7061
G	41.8837
H	56.7825
I	61.4547
J	45.6149
K	54.5865
L	46.5265
M	62.6951
N	35.8777
O	46.9295
P	62.1174
Q	51.9572
R	43.5036
S	48.6471
T	53.8701
U	33.3814
V	65.1010
W	52.1872
X	43.9248
Y	37.9773
Z	45.6398
a	48.5947
b	42.7845
c	32.8217
d	52.4345
e	48.6893
f	52.8216
g	56.4169
h	42.2003
i	36.7447
j	59.4549
k	53.3292
l	42.9243
m	53.4187
n	44.9871
o	46.9161
p	45.4986
q	37.3991
r	40.7769
s	46.1786
t	46.0839
u	42.0455
v	43.0366
w	38.6678
